epoch,cost
1,1418.59
2,1372.33
3,1341.28
4,1314.16
5,1271.76
6,1179.74
7,1152.96
8,1152.44
9,1116.61
10,1093.35
11,1064.94
12,1062.11
13,1053.89
14,1030.7
15,1016.71
16,990.79
17,955.563
18,948.662
19,948.662
20,930.113
21,930.113
22,920.429
23,916.564
24,916.564
25,898.864
26,898.864
27,898.864
28,898.864
29,898.864
30,898.864
31,898.864
32,898.864
33,898.864
34,887.051
35,887.051
36,882.817
37,882.817
38,880.42
39,878.331
40,870.422
41,869.765
42,869.765
43,869.765
44,863.468
45,863.468
46,863.468
47,858.926
48,858.926
49,858.926
50,858.926
51,858.926
52,858.926
53,858.926
54,858.926
55,858.926
56,858.926
57,858.926
58,858.926
59,853.663
60,853.663
61,858.406
62,858.406
63,858.406
64,858.406
65,847.566
66,847.566
67,847.566
68,847.566
69,847.566
70,839.416
71,839.416
72,839.416
73,839.416
74,839.416
75,839.416
76,839.416
77,839.416
78,839.416
79,839.416
80,836.099
81,836.099
82,836.099
83,836.099
84,836.099
85,836.099
86,836.099
87,836.099
88,836.099
89,836.099
90,836.099
91,836.099
92,834.983
93,834.983
94,834.983
95,834.983
96,834.983
97,834.983
98,834.983
99,834.983
100,834.983
101,834.983
102,834.983
103,834.983
104,834.983
105,834.848
106,834.848
107,834.848
108,834.848
109,830.415
110,830.415
111,830.415
112,830.415
113,830.415
114,830.415
115,830.415
116,830.415
117,830.415
118,830.415
119,830.415
120,830.415
121,830.415
122,830.415
123,830.415
124,830.415
125,830.415
126,830.415
127,830.415
128,830.415
129,830.415
130,830.415
131,830.415
132,830.415
133,830.415
134,830.415
135,830.415
136,830.415
137,830.415
138,830.415
139,830.415
140,830.415
141,830.415
142,830.415
143,830.415
144,830.415
145,830.415
146,830.415
147,830.415
148,830.415
149,830.415
150,830.415
151,830.415
152,830.415
153,830.415
154,830.415
155,830.415
156,830.415
157,830.415
158,830.415
159,830.415
160,830.415
161,830.415
162,830.415
163,830.415
164,830.415
165,830.415
166,830.415
167,830.415
168,830.415
169,830.415
170,830.415
171,830.415
172,830.415
173,830.415
174,830.415
175,830.415
176,830.415
177,830.415
178,830.415
179,830.415
180,830.415
181,830.415
182,830.415
183,830.415
184,830.415
185,830.415
186,830.415
187,830.415
188,830.415
189,830.415
190,830.415
191,830.415
192,830.415
193,830.415
194,830.415
195,830.415
196,830.415
197,830.415
198,830.415
199,830.415
200,830.415
201,830.415
202,830.415
203,830.415
204,830.415
205,830.415
206,830.415
207,830.415
208,830.415
209,830.415
210,830.415
211,830.415
212,830.415
213,830.415
214,830.415
215,830.415
216,830.415
217,830.415
218,830.415
219,830.415
220,830.415
221,830.415
222,830.415
223,830.415
224,830.415
225,830.415
226,830.415
227,830.415
228,830.415
229,830.415
230,830.415
231,830.415
232,830.415
233,830.415
234,830.415
235,830.415
236,830.415
237,830.415
238,830.415
239,830.415
240,830.415
241,830.415
242,830.415
243,830.415
244,830.415
245,830.415
246,830.415
247,830.415
248,830.415
249,830.415
250,830.415
251,830.415
252,830.415
253,830.415
254,830.415
255,830.415
256,830.415
257,830.415
258,830.415
259,830.415
260,830.415
261,830.415
262,830.415
263,830.415
264,830.415
265,830.415
266,830.415
267,830.415
268,830.415
269,830.415
270,830.415
271,830.415
272,830.415
273,830.415
274,830.415
275,830.415
276,830.415
277,830.415
278,830.415
279,830.415
280,830.415
281,830.415
282,830.415
283,830.415
284,830.415
285,830.415
286,830.415
287,830.415
288,830.415
289,830.415
290,830.415
291,830.415
292,830.415
293,830.415
294,830.415
295,830.415
296,830.415
297,830.415
298,830.415
299,830.415
300,830.415
301,830.415
