epoch,cost
1,1395.06
2,1301.66
3,1298.1
4,1318.31
5,1248.51
6,1188.65
7,1182.21
8,1102.08
9,1160.77
10,1125.64
11,1138.56
12,1148.06
13,1106.82
14,1098.64
15,1073.03
16,1073.81
17,1065.69
18,1057.63
19,1034.18
20,1029.05
21,1030.91
22,1037.27
23,1046.06
24,1021.44
25,971.641
26,1007.77
27,974.35
28,1025.04
29,980.483
30,1026.63
31,1003.44
32,1024.58
33,995.475
34,1019.85
35,989.859
36,1026.54
37,988.468
38,986.215
39,1047.91
40,1066.42
41,1050.5
42,1037.32
43,1041.87
44,1010.72
45,1059.85
46,973.747
47,1053.99
48,1035.97
49,991.484
50,981.144
51,1026.7
52,1017.81
53,1014.68
54,939.06
55,965.661
56,965.18
57,991.721
58,960.796
59,957.202
60,943.018
61,976.611
62,984.174
63,984.174
64,1020.28
65,972.706
66,1008.32
67,993.915
68,983.969
69,990.945
70,963.473
71,951.913
72,913.263
73,927.987
74,905.606
75,983.171
76,964.91
77,968.23
78,968.666
79,967.23
80,997.006
81,976.278
82,907.787
83,919.677
84,915.505
85,915.179
86,974.816
87,916.677
88,944.215
89,950.334
90,939.448
91,919.771
92,913.343
93,892.897
94,878.81
95,878.81
96,916.107
97,986.733
98,993.039
99,939.549
100,972.459
101,987.381
102,937.095
103,943.527
104,977.425
105,982.557
106,979.566
107,990.095
108,975.453
109,947.556
110,937.806
111,937.806
112,972.825
113,967.293
114,901.399
115,966.179
116,967.955
117,954.164
118,947.5
119,913.275
120,937.274
121,877.397
122,899.976
123,953.634
124,962.708
125,941.21
126,979.041
127,940.194
128,955.936
129,915.532
130,971.771
131,943.069
132,949.588
133,915.531
134,897.418
135,959.499
136,951.309
137,974.361
138,982.807
139,920.246
140,992.039
141,985.559
142,981.541
143,956.52
144,953.36
145,897.548
146,911.265
147,887.415
148,951.49
149,954.99
150,866.444
151,882.196
152,924.967
153,938.117
154,906.238
155,919.041
156,907.161
157,952.977
158,947.048
159,950.063
160,944.721
161,931.06
162,934.839
163,936.405
164,933.816
165,914.745
166,887.783
167,923.253
168,918.995
169,934.952
170,932.777
171,932.777
172,916.364
173,917.281
174,904.408
175,865.904
176,849.106
177,840.455
178,834.352
179,886.667
180,906.993
181,875.138
182,921.131
183,858.084
184,934.632
185,904.722
186,926.179
187,934.972
188,900.285
189,940.121
190,925.611
191,879.194
192,858.024
193,940.095
194,949.772
195,932.382
196,900.644
197,927.938
198,927.194
199,951.558
200,892.954
201,897.325
202,939.887
203,887.611
204,887.611
205,932.396
206,893.892
207,893.042
208,892.506
209,874.856
210,839.739
211,880.725
212,860.532
213,834.437
214,853.12
215,885.857
216,865.664
217,865.664
218,893.213
219,875.544
220,875.544
221,872.604
222,829.439
223,877.42
224,913.794
225,888.283
226,775.686
227,852.508
228,888.993
229,886.456
230,906.681
231,850.208
232,815.227
233,815.227
234,920.411
235,934.532
236,935.585
237,934.029
238,901.997
239,942.775
240,931.402
241,916.536
242,924.311
243,932.563
244,935.946
245,916.206
246,947.265
247,928.277
248,927.464
249,948.696
250,926.145
251,933.684
252,925.685
253,925.685
254,903.383
255,906.332
256,924.269
257,846.659
258,906.517
259,885.037
260,897.139
261,868.266
262,840.797
263,840.321
264,798.923
265,798.923
266,908.425
267,830.486
268,903.288
269,903.288
270,915.082
271,944.985
272,883.339
273,973.763
274,948.518
275,1024.24
276,1011.25
277,1000.23
278,952.07
279,949.212
280,949.212
281,907.624
282,928.456
283,939.072
284,962.006
285,898.43
286,898.442
287,895.688
288,895.688
289,840.919
290,847.565
291,847.565
292,893.643
293,906.76
294,899.148
295,920.907
296,931.51
297,868.184
298,891.978
299,914.568
300,859.478
301,850.716
302,870.823
303,926.483
304,923.352
305,958.782
306,890.105
307,970.334
308,960.644
309,922.431
310,916.899
311,946.648
312,950.641
313,884.574
314,960.791
315,937.797
316,888.444
317,925.366
318,912.293
319,897.599
320,902.999
321,893.476
322,929.065
323,938.543
324,929.065
325,978.199
326,977.925
327,1001.63
328,1006.53
329,1006.57
330,1017.69
331,999.514
332,961.709
333,975.936
334,957.796
335,1004.21
336,989.393
337,917.848
338,987.927
339,958.427
340,977.358
341,948.6
342,981.556
343,875.785
344,892.511
345,945.965
346,879.833
347,933.65
348,955.311
349,950.944
350,931.169
351,992.593
352,902.66
353,949.622
354,935.706
355,913.973
356,956.562
357,927.284
358,946.696
359,960.291
360,964.632
361,994.973
362,989.284
363,957.93
364,993.775
365,962.518
366,917.557
367,937.559
368,928.5
369,903.142
370,939.871
371,941.578
372,941.646
373,848.738
374,948.132
375,885.691
376,898.912
377,907.183
378,915.504
379,959.523
380,945.473
381,956.779
382,984.708
383,956.426
384,965.966
385,953.996
386,920.961
387,905.15
388,961.594
389,963.24
390,962.27
391,845.053
392,845.053
393,889.964
394,904.86
395,950.941
396,923.399
397,916.346
398,890.026
399,945.729
400,929.6
401,926.494
402,932.583
403,933.855
404,929.082
405,939.852
406,952.095
407,917.786
408,920.299
409,929.425
410,941.916
411,929.215
412,919.285
413,912.29
414,868.333
415,909.848
416,953.275
417,943.342
418,933.915
419,946.815
420,937.705
421,907.768
422,898.399
423,878.157
424,850.482
425,850.482
426,856.295
427,872.97
428,899.45
429,873.366
430,903.91
431,930.176
432,907.36
433,894.315
434,864.743
435,812.348
436,885.248
437,869.687
438,865.356
439,853.085
440,822.116
441,876.802
442,878.954
443,889.663
444,875.646
445,875.36
446,872.52
447,865.805
448,827.234
449,801.787
450,800.189
451,824.442
452,808.434
453,826.338
454,809.331
455,818.062
456,910.04
457,919.649
458,841.913
459,920.997
460,913.03
461,917.376
462,894.994
463,893.028
464,885.414
465,867.899
466,899.606
467,887.355
468,851.139
469,859.941
470,830.803
471,885.049
472,874.921
473,882.376
474,890.922
475,904.818
476,897.456
477,892.032
478,915.111
479,895.022
480,897.173
481,973.481
482,974.352
483,923.134
484,920.467
485,971.226
486,951.599
487,926.268
488,905.768
489,942.47
490,917.818
491,936.744
492,921.436
493,901.626
494,918.726
495,891.668
496,924.794
497,909.671
498,902.611
499,907.851
500,895.03
501,892.902
502,873.233
503,919.349
504,919.034
505,894.585
506,958.05
507,964.862
508,925.368
509,925.368
510,982.246
511,992.221
512,951.687
513,951.687
514,944.438
515,928.703
516,903.717
517,885.541
518,832.383
519,832.383
520,838.176
521,838.176
522,838.176
523,852.34
524,859.658
525,878.318
526,890.352
527,939.541
528,968.729
529,956.381
530,896.377
531,968.025
532,965.571
533,956.261
534,971.676
535,960.88
536,959.942
537,955.538
538,942.088
539,933.73
540,928.146
541,942.357
