epoch,cost
1,1394.72
2,1422.54
3,1354.14
4,1343.48
5,1245.58
6,1245.58
7,1218.74
8,1219.77
9,1217.67
10,1218.88
11,1196.93
12,1062.04
13,1062.04
14,1062.04
15,1114.68
16,1115.9
17,1112.13
18,1106.57
19,1081.62
20,1003.83
21,1029.63
22,1003.83
23,1003.83
24,1003.83
25,1027.14
26,1027.14
27,1027.14
28,984.29
29,1019.16
30,1015.87
31,1013.85
32,1006.6
33,996.166
34,1015.86
35,957.921
36,970.704
37,986.193
38,1010.94
39,1001.75
40,995.993
41,969.504
42,983.031
43,994.657
44,972.433
45,961.658
46,947.924
47,934.254
48,945.82
49,915.535
50,909.146
51,847.256
52,862.896
53,876.929
54,854.917
55,860.372
56,860.372
57,856.129
58,856.129
59,856.129
60,845.884
61,835.135
62,857.106
63,851.751
64,856.759
65,850.771
66,844.957
67,846.573
68,831.737
69,831.107
70,831.107
71,828.824
72,825.726
73,828.333
74,818.451
75,818.931
76,803.979
77,816.987
78,825.726
79,829.656
80,876.539
81,857.677
82,856.117
83,853.057
84,851.217
85,848.621
86,844.051
87,844.913
88,844.913
89,848.538
90,853.04
91,853.04
92,854.406
93,854.406
94,863.332
95,866.639
96,853.822
97,867.025
98,867.025
99,823.416
100,853.898
101,859.16
102,855.138
103,853.112
104,853.99
105,853.317
106,842.99
107,840.24
108,791.074
109,826.229
110,780.285
111,787.68
112,775.533
113,747.136
114,763.631
115,760.812
116,763.631
117,760.812
118,760.812
119,760.812
120,760.812
121,760.812
122,759.41
123,755.256
124,754.865
125,751.001
126,750.86
127,750.86
128,750.86
129,750.86
130,750.86
131,750.86
132,750.86
133,750.86
134,750.86
135,750.86
136,750.86
137,750.86
138,750.86
139,750.86
140,750.86
141,750.86
142,750.86
143,750.86
144,750.86
145,750.86
146,750.86
147,750.86
148,750.86
149,750.86
150,750.86
151,750.86
152,750.86
153,750.86
154,750.86
155,750.86
156,750.86
157,750.86
158,750.86
159,750.86
160,750.86
161,750.86
162,750.86
163,750.86
164,750.86
165,750.86
166,750.86
167,750.86
168,750.86
169,750.86
170,750.86
171,750.86
172,750.86
173,750.86
174,750.86
175,750.86
176,750.86
177,750.86
178,750.86
179,750.86
180,750.86
181,750.86
182,750.86
183,750.86
184,750.86
185,750.86
186,750.86
187,750.86
188,750.86
189,750.86
190,750.86
191,750.86
192,750.86
193,750.86
194,750.86
195,750.86
196,750.86
197,750.86
198,750.86
199,750.86
200,750.86
201,750.86
202,750.86
203,750.86
204,750.86
205,750.86
206,750.86
207,750.86
208,750.86
209,750.86
210,750.86
211,750.86
212,750.86
213,750.86
214,750.86
215,750.86
216,750.86
217,750.86
218,750.86
219,750.86
220,750.86
221,750.86
222,750.86
223,750.86
224,750.86
225,750.86
226,750.86
227,750.86
228,750.86
229,750.86
230,750.86
231,750.86
232,750.86
233,750.86
234,750.86
235,750.86
236,750.86
237,750.86
238,750.86
239,750.86
240,750.86
241,750.86
242,750.86
243,750.86
244,750.86
245,750.86
246,750.86
247,750.86
248,750.86
249,750.86
250,750.86
251,750.86
252,750.86
253,750.86
254,750.86
255,750.86
256,750.86
257,750.86
258,750.86
259,750.86
260,750.86
261,750.86
262,750.86
263,750.86
264,750.86
265,750.86
266,750.86
267,750.86
268,750.86
269,750.86
270,750.86
271,750.86
272,750.86
273,750.86
274,750.86
275,750.86
276,750.86
277,750.86
278,750.86
279,750.86
280,750.86
281,750.86
282,750.86
283,750.86
284,750.86
285,750.86
286,750.86
287,750.86
288,750.86
289,750.86
290,750.86
291,750.86
292,750.86
293,750.86
294,750.86
295,750.86
296,750.86
297,750.86
298,750.86
299,750.86
300,750.86
301,750.86
302,750.86
303,750.86
304,750.86
305,750.86
306,750.86
307,750.86
308,750.86
309,750.86
310,750.86
311,750.86
312,750.86
313,750.86
314,750.86
315,750.86
316,750.86
317,750.86
318,750.86
319,750.86
320,750.86
321,750.86
322,750.86
323,750.86
324,750.86
325,750.86
326,750.86
327,750.86
328,750.86
329,750.86
330,750.86
331,750.86
332,750.86
333,750.86
334,750.86
335,750.86
336,750.86
337,750.86
338,750.86
339,750.86
340,750.86
341,750.86
342,750.86
343,750.86
344,750.86
345,750.86
346,750.86
347,750.86
348,750.86
349,750.86
350,750.86
351,750.86
352,750.86
353,750.86
354,750.86
355,750.86
356,750.86
357,750.86
358,750.86
359,750.86
360,750.86
361,750.86
362,750.86
363,750.86
364,750.86
365,750.86
366,750.86
367,750.86
368,750.86
369,750.86
370,750.86
371,750.86
372,750.86
373,750.86
374,750.86
375,750.86
376,750.86
377,750.86
378,750.86
379,750.86
380,750.86
381,750.86
382,750.86
383,750.86
384,750.86
385,750.86
386,750.86
387,750.86
388,750.86
389,750.86
390,750.86
391,750.86
392,750.86
393,750.86
394,750.86
395,750.86
396,750.86
397,750.86
398,750.86
399,750.86
400,750.86
401,750.86
402,750.86
403,750.86
404,750.86
405,750.86
406,750.86
407,750.86
408,750.86
409,750.86
410,750.86
411,750.86
412,750.86
413,750.86
414,750.86
415,750.86
416,750.86
417,750.86
418,750.86
419,750.86
420,750.86
421,750.86
422,750.86
423,750.86
424,750.86
425,750.86
426,750.86
427,750.86
428,750.86
429,750.86
430,750.86
431,750.86
432,750.86
433,750.86
434,750.86
435,750.86
436,750.86
437,750.86
438,750.86
439,750.86
440,750.86
441,750.86
442,750.86
443,750.86
444,750.86
445,750.86
446,750.86
447,750.86
448,750.86
449,750.86
450,750.86
451,750.86
452,750.86
453,750.86
454,750.86
455,750.86
456,750.86
457,750.86
458,750.86
459,750.86
460,750.86
461,750.86
462,750.86
463,750.86
464,750.86
465,750.86
466,750.86
467,750.86
468,750.86
469,750.86
470,750.86
471,750.86
472,750.86
473,750.86
474,750.86
475,750.86
476,750.86
477,750.86
478,750.86
479,750.86
480,750.86
481,750.86
482,750.86
483,750.86
484,750.86
485,750.86
486,750.86
487,750.86
488,750.86
489,750.86
490,750.86
491,750.86
492,750.86
493,750.86
494,750.86
495,750.86
496,750.86
497,750.86
498,750.86
499,750.86
500,750.86
501,750.86
502,750.86
503,750.86
504,750.86
505,750.86
506,750.86
507,750.86
508,750.86
509,750.86
510,750.86
511,750.86
512,750.86
513,750.86
514,750.86
515,750.86
516,750.86
517,750.86
518,750.86
519,750.86
520,750.86
521,750.86
522,750.86
