epoch,cost
1,1400.88
2,1376.72
3,1374.29
4,1308.69
5,1289.62
6,1262.14
7,1266.34
8,1144.39
9,1195.42
10,1130.96
11,1201.25
12,1145.04
13,1072.69
14,1064.49
15,1058.86
16,989.375
17,989.375
18,1034.93
19,1039.46
20,1013.97
21,985.143
22,977.682
23,959.159
24,956.583
25,956.583
26,956.583
27,965.54
28,976.592
29,964.768
30,948.903
31,925.432
32,924.531
33,923.164
34,927.092
35,956.453
36,929.185
37,928.832
38,921.147
39,919.833
40,934.745
41,916.938
42,900.789
43,898.625
44,899.052
45,895.445
46,913.878
47,913.878
48,913.878
49,934.07
50,905.293
51,933.802
52,925.32
53,923.303
54,923.303
55,923.303
56,910.248
57,903.684
58,892.778
59,889.364
60,890.291
61,873.797
62,873.797
63,881.646
64,861.979
65,868.706
66,852.445
67,869.755
68,872.253
69,893.647
70,909.608
71,897.701
72,898.329
73,913.861
74,872.242
75,892.007
76,925.046
77,921.869
78,895.914
79,885.978
80,927.997
81,926.538
82,936.958
83,901.718
84,930.147
85,908.587
86,933.205
87,941.236
88,949.338
89,895.517
90,929.699
91,902.544
92,874.426
93,879.142
94,936.706
95,887.717
96,911.135
97,913.696
98,914.965
99,895.775
100,932.943
101,934.501
102,968.227
103,948.687
104,941.737
105,959.757
106,957.475
107,946.061
108,945.906
109,945.7
110,950.696
111,939.876
112,935.309
113,943.214
114,936.779
115,924.761
116,916.826
117,943.615
118,947.642
119,860.205
120,942.424
121,940.081
122,904.22
123,908.003
124,905.899
125,914.085
126,882.989
127,884.472
128,914.947
129,955.019
130,922.426
131,906.774
132,912.485
133,904.21
134,899.587
135,893.651
136,896.109
137,900.014
138,936.414
139,937.374
140,962.527
141,942.777
142,960.17
143,958.925
144,906.751
145,972.135
146,963.434
147,970.681
148,964.145
149,958.071
150,937.505
151,938.717
152,902.798
153,887.194
154,961.358
155,950.425
156,950.704
157,913.707
158,942.749
159,922.779
160,938.266
161,919.538
162,896.723
163,897.579
164,871.195
165,873.788
166,874.628
167,878.15
168,893.374
169,873.868
170,926.879
171,931.774
172,944.701
173,932.561
174,953.477
175,899.124
176,949.256
177,903.606
178,892.894
179,911.914
180,962.23
181,883.289
182,927.139
183,910.162
184,900.148
185,956.927
186,953.253
187,899.948
188,911.789
189,960.753
190,891.907
191,951.608
192,909.377
193,876.183
194,907.317
195,918.172
196,888.166
197,889.366
198,917.64
199,879.666
200,872.747
201,885.165
202,876.09
203,872.329
204,896.089
205,871.877
206,872.891
207,895.263
208,866.131
209,870.833
210,891.088
211,883.956
212,893.002
213,881.054
214,918.944
215,898.831
216,905.606
217,900.041
218,829.153
219,925.625
220,915.542
221,894.733
222,910.778
223,916.293
224,897.843
225,885.233
226,885.671
227,919.567
228,897.145
229,910.413
230,882.04
231,927.397
232,898.303
233,840.747
234,903.586
235,885.738
236,879.533
237,883.425
238,908.266
239,909.867
240,883.928
241,909.803
242,899.882
243,961.925
244,953.771
245,884.703
246,962.234
247,945.275
248,948.632
249,931.807
250,964.419
251,966.227
252,943.395
253,954.726
254,949.042
255,928.205
256,964.842
257,964.842
258,925.547
259,931.435
260,961.916
261,901.861
262,950.62
263,956.735
264,964.29
265,966.409
266,929.627
267,929.566
268,921.49
269,898.527
270,936.103
271,897.615
272,908.144
273,860.508
274,928.847
275,886.794
276,857.11
277,907.114
278,905.061
279,899.622
280,879.9
281,907.016
282,954.546
283,886.184
284,916.291
285,912.753
286,867.02
287,936.567
288,920.732
289,863.486
290,892.287
291,873.433
292,882.923
293,817.735
294,831.357
295,864.978
296,861.706
297,894.926
298,873.926
299,876.371
300,896.792
301,862.133
