epoch,cost
1,1288.16
2,1275.49
3,1261.83
4,1225.53
5,1229.56
6,1221.97
7,1205.41
8,1224.1
9,1166.39
10,1097.1
11,1225.48
12,1109.57
13,1117.63
14,1177.77
15,1085.52
16,1083.2
17,1136.73
18,1078.16
19,1002.7
20,1024.7
21,1031.67
22,1058.59
23,1044.13
24,1046.17
25,1070.15
26,1069.04
27,1067.69
28,1070.19
29,1015.8
30,997.562
31,1054.37
32,1030.95
33,1075.43
34,1048.09
35,1006.89
36,1075.1
37,1088
38,1060.54
39,1064.91
40,1051.63
41,1062.94
42,1061.96
43,1071.98
44,1060.35
45,1063.06
46,1088.21
47,1041.01
48,1024.57
49,996.128
50,1018.38
51,1032.04
52,1031.4
53,939.376
54,956.822
55,1033.32
56,992.914
57,1007.3
58,1022.3
59,1008.43
60,998.479
61,1015.01
62,931.842
63,996.978
64,984.336
65,922.284
66,899.356
67,938.623
68,974.839
69,882.73
70,946.374
71,916.98
72,935.876
73,924.452
74,899.039
75,939.166
76,922.721
77,907.577
78,890.018
79,885.778
80,938.531
81,928.966
82,923.082
83,939.927
84,958.968
85,961.985
86,968.219
87,951.075
88,975.741
89,911.785
90,952.341
91,973.316
92,974.617
93,914.09
94,938.746
95,942.723
96,957.944
97,967.982
98,938.003
99,940.042
100,949.99
101,911.747
102,926.72
103,930.838
104,925.588
105,917.007
106,892.087
107,917.655
108,906.88
109,900.51
110,903.699
111,904.644
112,877.375
113,946.705
114,905.123
115,918.675
116,874.681
117,915.697
118,900.386
119,880.715
120,919.452
121,941.371
122,929.587
123,903.01
124,907.319
125,984.741
126,944.046
127,980.65
128,984.82
129,966.473
130,962.196
131,962.924
132,965.775
133,962.632
134,970.98
135,937.453
136,932.033
137,936.256
138,896.946
139,906.94
140,856.805
141,861.751
142,881.389
143,870.42
144,892.45
145,852.94
146,857.772
147,878.782
148,864.413
149,879.214
150,881.201
151,915.383
152,939.144
153,932.754
154,898.509
155,921.063
156,941.946
157,937.351
158,930.008
159,914.76
160,916.799
161,914.325
162,914.074
163,929.69
164,916.713
165,937.384
166,907.2
167,941.107
168,880.792
169,920.082
170,884.721
171,885.408
172,889.743
173,910.387
174,869.753
175,845.725
176,841.165
177,942.218
178,950.277
179,890.677
180,896.005
181,943.082
182,938.604
183,929.176
184,962.817
185,941.251
186,980.374
187,980.374
188,950.778
189,927.265
190,947.662
191,928.823
192,959.355
193,968.972
194,967.56
